artist,name,id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Surf Mesa,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,2019-11-26,91,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4
Jason Derulo,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,2020-07-22,91,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,4
Tainy,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",1pqnQ41XbfKjaFu6M0eGJp,2020-07-09,91,0.76,0.658,7,-5.275,1,0.275,0.162,0.0,0.195,0.565,100.202,157944,4
Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019-05-17,91,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,2020-05-08,91,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482,3
Roddy Ricch,The Box,0nbXyq5TXYPCO7pr3N8S4I,2019-12-06,90,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
Aya Nakamura,Djadja (feat. Maluma) - Remix,6AzKhCHOms83jvNVLsz0Bt,2020-06-12,90,0.791,0.682,5,-7.328,1,0.158,0.175,0.0,0.0926,0.672,98.031,166851,4
Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,2020-07-03,90,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600,4
Nio Garcia,La Jeepeta - Remix,1mohfLaTJtB2RplHLQVM70,2020-04-24,90,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.786,176.007,345241,4
Sech,Relación - Remix,35UUpTmrcFXNIVIN26ujXl,2020-09-04,90,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,247308,4
